user_id,journal,before_after,id,predicted_label,positive_probability
1,"Today was a pretty regular day at school. During lunch, I played basketball with my friends. We had a great time and even managed to win a quick game against some older kids. In the evening, I spent an hour coding a small game I'm working on. It's going to be a simple platformer, but I hope to add some cool features. I sometimes worry if my friends think I'm too much of a nerd because I love coding, but mostly I don't let it bother me. Oh, and Mr. Thompson gave us this massive history assignment. Not really looking forward to that.",0,1,1,0.60421956
1,"School was super stressful today! I had a math test and I don't think I did well. I struggled with a few problems and ran out of time. After school, my friends wanted to play basketball, but I wasn't really in the mood. Instead, I went home and played some video games to unwind. Shooting some digital enemies helped me relax a bit. Mom noticed I was a bit down and talked to me for a while, which was nice. Even when I'm feeling off, knowing I've got basketball and coding makes me feel better.",0,2,0,0.37284055
1,"Saturdays are my favorite! No school and all playtime. I woke up late, had a big breakfast with my family and then spent the morning coding. I'm getting better at fixing bugs on my first try, which makes me really proud. In the afternoon, I met up with some friends for basketball. We lost today, but it was still fun. Sometimes I feel pressure to always win or be at my best, but I'm learning that's not what matters most. Later, I played a new video game for a bit. All in all, it was a good day.",0,3,1,0.8551278
1,"Tuesdays are always meh. School is neither here nor there. Today, we had a surprise quiz in English, which sucked because I hadn't read all the chapters. One good thing, though, was practice after school. I forgot all about the quiz when I was out there playing basketball with the team. We worked on our offense and Coach said he sees a lot of potential in me, which felt awesome. I didn't code much tonight because I was too tired. Just played some music while I scribbled away in my notebook about game ideas.",0,4,0,0.3124048
1,"School was exhausting today. We had back-to-back classes and teachers gave us so much homework. By the time I got home, I just wanted to crash. But then I thought of my game and decided to work on it a little to cheer myself up. Made some progress with the character movements. Played basketball with my little brother in the evening and he actually shot a few hoops, which was funny and surprising. I kept thinking about what Coach said yesterday and it really motivated me. Hoping tomorrow will be less crazy at school.",0,5,0,0.31819305
1,"School was pretty chill today. Nothing too exciting happened, but thatï¿½s okay. We had a guest speaker in our science class who talked about space missions, which was super cool. Iï¿½ve been feeling less overwhelmed these days, which is a nice change. Spent the evening coding again, trying to improve my game. I think the new features I added are making it more playable. Chatted with Dad about it, and he seemed interested, which felt good. Basketball practice was tough but rewarding. All in all, a decent day.",1,6,1,0.6278118
1,"Had a weird dream last night about being in space. Woke up feeling kinda inspired. At school, my math teacher told me I did better on my last test than I expected. That was a huge relief. After school, I read some articles about game design. Got some cool ideas for my own project. Feeling more confident about my coding skills lately. Spent some time playing basketball with friends, and we laughed a lot, which felt amazing. Evenings like this make all the stress worth it. Still gotta finish that history assignment, though.",1,7,0,0.3100018
1,"Today was one of those days where nothing went as planned. Missed the bus to school, forgot my lunch, and had to borrow from a friend. Felt kinda embarrassed. But chemistry class was fun, we did an experiment with dry ice. Basketball was the highlight, as usual. Coach said I had a good defensive game. Got home and worked on my game for a bit, and something just clicked. The code I was struggling with finally worked. Ended the day playing video games for a bit. Not perfect, but ended better than it started.",1,8,0,0.41706628
1,"Feeling pretty upbeat today. Got a nice compliment from my English teacher about my essay. Didn't expect that at all. After school, went straight to the basketball court. Played a few games and felt really in sync with the team. The pep talk from Coach really helps us stay focused. Iï¿½m almost finished with the latest level in my game. It's coming along so nicely that I'm thinking of showing it to my friends soon. Talking to my brother about it and he seemed impressed. Not a bad day at all.",1,9,0,0.30443996
1,"What a rollercoaster of a day! Started off bad because I woke up late and missed breakfast. Then my locker jammed and I was late for homeroom. But I aced my biology quiz, which was a surprise. Hoop time after school was awesome. We had a mini-tournament and my team won! Felt incredible. Helped me forget the hiccups from the morning. Spent the evening polishing up my game. Adding music was a great idea, it feels more alive now. I'm really excited about how it's turning out. Can't be perfect every day, but today was pretty close.",1,10,0,0.47490457
2,"Today was a quiet day. I spent most of my time indoors since it was raining. I managed to finish another book from my reading list. It was about a girl who solves mysteries, and I found it really fascinating. After reading, I tried to paint a scene from the book. I think it turned out pretty well, but I feel like there is always room for improvement. In the evening, Mom helped me with my science homework. Sometimes it's hard to focus with so much going on at school, but having her support makes it easier.",0,11,0,0.42661622
2,"School was tough today. We had a lot of homework, and Mrs. Hernandez gave us a surprise quiz in math. I don't think I did too well. After school, I tried to relax by painting. I started working on a landscape piece with a sunset and mountains. Painting helps me calm down and think more clearly. After dinner, I played volleyball with my younger brother in the backyard. Heï¿½s getting better at it! Mom asked about my day and we had a nice talk. It feels good to have her understand what Iï¿½m going through.",0,12,1,0.7191747
2,"Sunday, my favorite day of the week! No school and more time for myself. I spent the morning reading outside since the weather was nice. I started a new book about adventures in a magical forest. Later, I continued painting my landscape. I love how the colors mix together to create something beautiful. In the afternoon, I helped Mom with cooking. I enjoy spending time with her, and she always makes cooking fun. In the evening, I prepared for the upcoming school week. I hope this week is less stressful.",0,13,1,0.75818086
2,"Today was pretty challenging. We had gym class and the coach made us run extra laps. Exhausting! In the afternoon, we had a history test. I studied hard for it, so I hope I did well. After school, I took some time to wind down by painting. This time it was a flower garden. Dad came and sat with me, giving me some tips on how to make the colors pop. Spending time together like this helps ease my stress. I didnï¿½t get to play volleyball today, but thatï¿½s okay. Tomorrow is another day.",0,14,1,0.5797522
